cve_ent,ent,anio,pob_tot,i_analf,i_asistesc,i_edbasinc,i_sdsalud,i_ptierra,i_nosan,i_noagua,i_nodren,i_noelec,i_nolav,i_noref,irs,grs,lugar
12,Guerrero,2005,3115202,19.8581,7.086812,57.97762,74.08114,31.59568,29.21959,34.48257,30.12317,8.521127,67.20444,33.53239,2.436138,Muy alto,2
13,Hidalgo,2005,2345514,12.79027,4.268627,49.94873,62.11513,11.93092,13.04275,13.85966,18.32489,6.15581,59.49972,36.49435,0.5928121,Alto,7
14,Jalisco,2005,6752113,5.54158,5.963663,46.90963,44.84219,4.682164,7.343013,6.300783,2.988643,5.173223,22.96243,11.32654,-0.5984144,Bajo,23
15,México,2005,14007495,5.314204,4.216136,38.65338,52.65558,5.214477,10.80971,6.443248,6.580627,6.321838,39.60863,25.75677,-0.3629572,Bajo,19
16,Michoacán,2005,3966073,12.56782,7.735515,58.4586,70.28168,13.94027,9.572034,11.05037,13.19261,4.746056,40.06459,23.08521,0.6675908,Alto,6
17,Morelos,2005,1612899,8.119083,5.087964,41.1912,54.6529,9.278161,8.954632,9.889742,5.784337,5.67914,44.59328,19.69761,-0.1754854,Medio,17
18,Nayarit,2005,949684,8.000381,4.671336,45.7229,38.28663,8.350345,9.02207,9.914704,7.341938,5.670396,33.82192,18.10837,-0.4158117,Bajo,20
19,Nuevo León,2005,4199292,2.773129,3.298487,32.63773,28.08557,2.272983,4.834711,4.370233,3.577169,3.703496,14.64782,6.92279,-1.438426,Muy bajo,32
20,Oaxaca,2005,3506821,19.32634,6.175099,62.5919,75.74567,32.59845,10.07842,28.04196,35.53884,9.292599,71.09013,48.98761,2.203928,Muy alto,3
21,Puebla,2005,5383133,12.69713,6.669951,53.53955,63.36555,14.34454,9.776061,15.14663,18.12252,5.409327,58.20517,43.06194,0.9749269,Muy alto,4
22,Querétaro,2005,1598139,8.128058,5.142137,43.38607,46.21244,7.635997,13.95932,9.073685,11.78432,6.461121,39.28846,21.17582,-0.0442939,Medio,15
23,Quintana Roo,2005,1135309,6.575175,3.944056,39.77044,41.44316,6.28714,18.27978,5.416075,6.607009,15.95215,39.75929,30.71862,0.150361,Medio,12
24,San Luis Potosí,2005,2410414,9.912647,4.16844,49.52676,48.68911,17.60897,8.085606,17.39248,22.4293,7.050153,39.24389,27.30667,0.3087044,Alto,10
25,Sinaloa,2005,2608442,6.418291,4.523732,44.89156,33.09781,8.801085,10.93809,9.219703,11.40639,5.780282,33.63764,12.04194,-0.4535882,Bajo,21
26,Sonora,2005,2394861,3.729186,3.316681,38.96392,30.2641,8.670914,6.829701,5.624029,11.80859,5.616544,32.59203,11.02515,-0.8566825,Muy bajo,28
27,Tabasco,2005,1989969,8.55882,4.474818,45.23079,32.23402,8.589558,8.010002,24.22847,5.281735,4.396761,42.19027,25.88619,-0.0320747,Medio,14
